Date,Franklin India Corporate Debt Fund - Direct - GROWTH,Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Growth Option,Sundaram Corporate Bond Fund Direct Plan - Growth,Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan,Invesco India Corporate Bond Fund - Direct Plan - Growth,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth,HDFC Corporate Bond Fund - Growth Option - Direct Plan,CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION,Kotak Corporate Bond Fund- Direct Plan- Growth Option,BANDHAN Corporate Bond Fund - Direct Growth,PGIM India Corporate Bond Fund - Direct Plan - Growth,Axis Corporate Bond Fund - Direct Plan Growth,Union Corporate Bond Fund - Direct Plan - Growth Option,UTI Corporate Bond Fund - Direct Plan - Growth Option,DSP Corporate Bond Fund - Direct - Growth,SBI Corporate Bond Fund - Direct Plan - Growth,Mirae Asset Corporate Bond Fund Direct Growth Plan,Tata Corporate Bond Fund-Direct Plan-Growth,BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option,HSBC Corporate Bond Fund - Direct Growth,TRUSTMF CORPORATE BOND FUND-DIRECT PLAN-GROWTH
2013-01-01,38.9157,,,,,,12.4504,,,,,,,,,,,,,,
2013-01-02,38.9381,23.8807,,42.5243,1378.21,,12.4584,,,,,,,,,,,,,,
2013-01-03,38.9939,23.8867,,42.5392,1380.41,11.6079,12.4678,,,,,,,,,,,,,,
2013-01-04,39.0279,23.8925,,42.5567,1382.48,11.6112,12.4786,,,,,,,,,,,,,,
2013-01-07,39.0827,23.9094,,42.6007,1385.8,11.6197,12.4843,,,,,,,,,,,,,,
2013-01-08,39.0946,23.9145,,42.6146,1386.39,11.6219,12.4908,,,,,,,,,,,,,,
2013-01-09,39.1075,23.9199,,42.6232,1387.39,11.6235,12.4972,,,,,,,,,,,,,,
2013-01-10,39.1618,23.9256,,42.6596,1389.2,11.6266,12.506,,,,,,,,,,,,,,
2013-01-11,39.1954,23.9323,,42.6672,1390.99,11.6306,12.5175,,,,,,,,,,,,,,
2013-01-14,39.2999,23.9528,,42.7207,1397.6,11.6397,12.5449,,,,,,,,,,,,,,
2013-01-15,39.2676,23.9597,,42.7257,1395.46,11.643,12.5426,,,,,,,,,,,,,,
2013-01-16,39.2122,23.963,,42.7158,1390.6,11.6451,12.5255,,,,,,,,,,,,,,
2013-01-17,39.2339,23.9684,,42.7316,1391.75,11.6479,12.5265,,,,,,,,,,,,,,
2013-01-18,39.2397,23.9729,,42.7388,1390.7,11.6508,12.5289,,,,,,,,,,,,,,
2013-01-21,39.2503,23.9877,,42.7686,1390.63,11.6587,12.5385,,,,,,,,,,,,,,
2013-01-22,39.2648,23.9925,,42.7692,1390.97,11.6609,12.5417,,,,,,,,,,,,,,
2013-01-23,39.2533,23.9967,,42.7712,1389.45,11.6632,12.5442,,,,,,,,,,,,,,
2013-01-24,39.257,24.0008,,42.7869,1388.49,11.6664,12.5472,,,,,,,,,,,,,,
2013-01-28,39.295,24.0217,,42.822,1390.73,11.6769,12.5594,,,,,,,,,,,,,,
2013-01-29,39.3268,24.028,,42.8421,1390.19,11.6809,12.5706,,,,,,,,,,,,,,
2013-01-30,39.2855,24.0279,,42.8402,1387.89,11.6815,12.5711,,,,,,,,,,,,,,
2013-01-31,39.2398,24.0236,,42.8216,1386.01,11.68,12.5596,,,,,,,,,,,,,,
2013-02-01,39.2158,24.0199,,42.8143,1386.53,11.6808,12.5534,,,,,,,,,,,,,,
2013-02-04,39.2113,24.03,,42.8229,1385.31,11.6858,12.5383,,,,,,,,,,,,,,
2013-02-05,39.2188,24.0339,,42.8249,1386.25,11.6873,12.5426,,,,,,,,,,,,,,
2013-02-06,39.2297,24.0408,,42.8258,1387.78,11.6902,12.5445,,,,,,,,,,,,,,
2013-02-07,39.3085,24.0472,,42.8621,1391.23,11.6942,12.5627,,,,,,,,,,,,,,
2013-02-08,39.3216,24.0517,,42.8762,1393.63,11.6973,12.5691,,,,,,,,,,,,,,
2013-02-11,39.3326,24.0669,,42.9005,1394.07,11.7043,12.5743,,,,,,,,,,,,,,
2013-02-12,39.3347,24.0682,,42.8977,1393.31,11.7061,12.5718,,,,,,,,,,,,,,
2013-02-13,39.3531,24.0692,,42.9047,1395.43,11.7074,12.568,,,,,,,,,,,,,,
2013-02-14,39.348,24.0602,,42.8986,1396.97,11.706,12.5684,,,,,,,,,,,,,,
2013-02-15,39.3323,24.0562,,42.901,1396.38,11.7068,12.5714,,,,,,,,,,,,,,
2013-02-18,39.3416,24.0714,,42.9273,1397.09,11.7142,12.5743,,,,,,,,,,,,,,
2013-02-20,39.3857,24.0901,,42.953,1399.12,11.7202,12.5812,,,,,,,,,,,,,,
2013-02-21,39.3781,24.096,,42.9609,1398.5,11.7231,12.5789,,,,,,,,,,,,,,
2013-02-22,39.3755,24.1034,,42.9563,1399.42,11.7259,12.5769,,,,,,,,,,,,,,
2013-02-25,39.3873,24.1181,,42.9772,1399.86,11.7365,12.5852,,,,,,,,,,,,,,
